Step;name: no_q_coord - Train/train_success;name: no_q_coord - Train/train_success__MIN;name: no_q_coord - Train/train_success__MAX;name: no_coord_w - Train/train_success;name: no_coord_w - Train/train_success__MIN;name: no_coord_w - Train/train_success__MAX;name: inverse_mask - Train/train_success;name: inverse_mask - Train/train_success__MIN;name: inverse_mask - Train/train_success__MAX;name: true_mask - Train/train_success;name: true_mask - Train/train_success__MIN;name: true_mask - Train/train_success__MAX;name: eval - Train/train_success;name: eval - Train/train_success__MIN;name: eval - Train/train_success__MAX
10;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0
20;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0
30;1;1;1;0;0;0;0;0;0;2;2;2;0;0;0
40;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1
51;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
61;0;0;0;0;0;0;1;1;1;3;3;3;0;0;0
71;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
81;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1
91;0;0;0;0;0;0;2;2;2;0;0;0;1;1;1
102;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1
132;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
142;2;2;2;0;0;0;0;0;0;1;1;1;0;0;0
153;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0
163;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
214;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0
224;2;2;2;0;0;0;1;1;1;0;0;0;3;3;3
234;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
244;0;0;0;1;1;1;2;2;2;2;2;2;0;0;0
255;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
265;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
275;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2
285;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0
295;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
306;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1
316;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1
326;0;0;0;0;0;0;1;1;1;0;0;0;2;2;2
336;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0
346;1;1;1;0;0;0;0;0;0;3;3;3;0;0;0
357;2;2;2;1;1;1;0;0;0;1;1;1;0;0;0
367;2;2;2;0;0;0;1;1;1;1;1;1;3;3;3
377;0;0;0;1;1;1;2;2;2;0;0;0;3;3;3
387;0;0;0;0;0;0;0;0;0;2;2;2;1;1;1
397;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0
408;0;0;0;0;0;0;2;2;2;1;1;1;0;0;0
418;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
428;0;0;0;1;1;1;2;2;2;0;0;0;1;1;1
438;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1
448;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3
458;0;0;0;1;1;1;0;0;0;3;3;3;1;1;1
468;1;1;1;1;1;1;0;0;0;2;2;2;1;1;1
478;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2
488;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
498;0;0;0;1;1;1;2;2;2;3;3;3;1;1;1
509;1;1;1;0;0;0;0;0;0;1;1;1;5;5;5
519;1;1;1;0;0;0;3;3;3;3;3;3;0;0;0
529;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
539;2;2;2;3;3;3;2;2;2;3;3;3;2;2;2
549;2;2;2;1;1;1;0;0;0;1;1;1;0;0;0
560;3;3;3;1;1;1;1;1;1;3;3;3;2;2;2
570;0;0;0;0;0;0;2;2;2;3;3;3;1;1;1
580;1;1;1;1;1;1;0;0;0;2;2;2;2;2;2
590;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
600;1;1;1;0;0;0;2;2;2;0;0;0;2;2;2
611;5;5;5;1;1;1;0;0;0;0;0;0;4;4;4
621;2;2;2;0;0;0;2;2;2;1;1;1;0;0;0
631;2;2;2;1;1;1;1;1;1;2;2;2;0;0;0
641;1;1;1;1;1;1;0;0;0;3;3;3;1;1;1
651;1;1;1;0;0;0;1;1;1;3;3;3;0;0;0
662;2;2;2;0;0;0;1;1;1;4;4;4;3;3;3
672;5;5;5;1;1;1;4;4;4;1;1;1;3;3;3
682;2;2;2;0;0;0;1;1;1;3;3;3;4;4;4
692;5;5;5;0;0;0;3;3;3;2;2;2;0;0;0
702;2;2;2;0;0;0;2;2;2;2;2;2;4;4;4
713;7;7;7;0;0;0;2;2;2;2;2;2;2;2;2
723;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
733;5;5;5;0;0;0;2;2;2;1;1;1;3;3;3
743;5;5;5;1;1;1;2;2;2;4;4;4;0;0;0
753;1;1;1;0;0;0;0;0;0;5;5;5;1;1;1
764;5;5;5;1;1;1;0;0;0;2;2;2;4;4;4
774;1;1;1;2;2;2;2;2;2;4;4;4;2;2;2
784;7;7;7;0;0;0;3;3;3;0;0;0;1;1;1
794;2;2;2;1;1;1;0;0;0;2;2;2;6;6;6
804;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3
815;2;2;2;1;1;1;1;1;1;6;6;6;2;2;2
825;3;3;3;0;0;0;2;2;2;5;5;5;5;5;5
835;4;4;4;2;2;2;0;0;0;0;0;0;3;3;3
845;3;3;3;0;0;0;1;1;1;5;5;5;1;1;1
855;3;3;3;1;1;1;3;3;3;2;2;2;2;2;2
866;4;4;4;0;0;0;2;2;2;2;2;2;3;3;3
876;5;5;5;2;2;2;1;1;1;2;2;2;5;5;5
886;3;3;3;0;0;0;2;2;2;1;1;1;5;5;5
896;2;2;2;0;0;0;2;2;2;1;1;1;2;2;2
906;2;2;2;3;3;3;3;3;3;2;2;2;4;4;4
917;2;2;2;1;1;1;1;1;1;4;4;4;0;0;0
927;7;7;7;0;0;0;3;3;3;2;2;2;3;3;3
937;3;3;3;1;1;1;6;6;6;5;5;5;5;5;5
947;2;2;2;0;0;0;3;3;3;2;2;2;5;5;5
957;4;4;4;3;3;3;2;2;2;5;5;5;4;4;4
967;4;4;4;4;4;4;2;2;2;3;3;3;2;2;2
977;2;2;2;0;0;0;3;3;3;6;6;6;4;4;4
987;2;2;2;1;1;1;2;2;2;3;3;3;4;4;4
997;3;3;3;2;2;2;1;1;1;2;2;2;4;4;4
1007;2;2;2;4;4;4;3;3;3;2;2;2;4;4;4
1018;4;4;4;1;1;1;2;2;2;3;3;3;3;3;3
1028;5;5;5;4;4;4;1;1;1;0;0;0;2;2;2
1038;1;1;1;3;3;3;0;0;0;3;3;3;1;1;1
1048;3;3;3;4;4;4;3;3;3;4;4;4;2;2;2
1058;3;3;3;2;2;2;5;5;5;2;2;2;4;4;4
1069;3;3;3;3;3;3;4;4;4;3;3;3;4;4;4
1079;7;7;7;2;2;2;1;1;1;3;3;3;3;3;3
1089;3;3;3;1;1;1;1;1;1;3;3;3;1;1;1
1099;1;1;1;1;1;1;3;3;3;5;5;5;2;2;2
1109;2;2;2;0;0;0;5;5;5;1;1;1;2;2;2
1120;2;2;2;4;4;4;7;7;7;2;2;2;2;2;2
1130;3;3;3;3;3;3;0;0;0;2;2;2;0;0;0
1140;4;4;4;2;2;2;2;2;2;7;7;7;3;3;3
1150;3;3;3;3;3;3;3;3;3;5;5;5;4;4;4
1160;3;3;3;4;4;4;2;2;2;1;1;1;4;4;4
1171;2;2;2;4;4;4;4;4;4;3;3;3;3;3;3
1181;2;2;2;5;5;5;4;4;4;3;3;3;3;3;3
1191;5;5;5;4;4;4;5;5;5;3;3;3;2;2;2
1201;1;1;1;5;5;5;3;3;3;6;6;6;2;2;2
1211;4;4;4;2;2;2;3;3;3;4;4;4;4;4;4
1222;4;4;4;4;4;4;3;3;3;3;3;3;6;6;6
1232;1;1;1;4;4;4;6;6;6;2;2;2;3;3;3
1242;3;3;3;2;2;2;1;1;1;5;5;5;5;5;5
1252;4;4;4;3;3;3;2;2;2;3;3;3;3;3;3
1262;4;4;4;3;3;3;2;2;2;8;8;8;3;3;3
1273;4;4;4;3;3;3;2;2;2;5;5;5;6;6;6
1283;4;4;4;2;2;2;7;7;7;3;3;3;2;2;2
1293;3;3;3;1;1;1;1;1;1;2;2;2;5;5;5
1303;4;4;4;4;4;4;2;2;2;3;3;3;4;4;4
1313;1;1;1;3;3;3;1;1;1;6;6;6;2;2;2
1324;6;6;6;5;5;5;5;5;5;4;4;4;3;3;3
1334;3;3;3;6;6;6;5;5;5;1;1;1;2;2;2
1344;4;4;4;3;3;3;1;1;1;1;1;1;3;3;3
1354;3;3;3;3;3;3;2;2;2;3;3;3;4;4;4
1364;5;5;5;4;4;4;1;1;1;4;4;4;4;4;4
1375;2;2;2;3;3;3;1;1;1;4;4;4;3;3;3
1385;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2
1395;5;5;5;5;5;5;2;2;2;4;4;4;4;4;4
1405;5;5;5;3;3;3;8;8;8;6;6;6;4;4;4
1415;0;0;0;3;3;3;2;2;2;1;1;1;2;2;2
1426;6;6;6;3;3;3;6;6;6;2;2;2;3;3;3
1436;3;3;3;2;2;2;1;1;1;2;2;2;2;2;2
1446;5;5;5;7;7;7;5;5;5;5;5;5;6;6;6
1456;4;4;4;1;1;1;3;3;3;3;3;3;3;3;3
1466;7;7;7;2;2;2;4;4;4;3;3;3;1;1;1
1476;5;5;5;7;7;7;1;1;1;1;1;1;7;7;7
1486;4;4;4;1;1;1;0;0;0;3;3;3;3;3;3
1496;5;5;5;2;2;2;4;4;4;3;3;3;0;0;0
1506;4;4;4;8;8;8;1;1;1;3;3;3;3;3;3
1516;1;1;1;4;4;4;5;5;5;4;4;4;2;2;2
1527;4;4;4;6;6;6;3;3;3;4;4;4;1;1;1
1537;7;7;7;3;3;3;4;4;4;4;4;4;4;4;4
1547;4;4;4;6;6;6;4;4;4;4;4;4;4;4;4
1557;4;4;4;0;0;0;3;3;3;6;6;6;3;3;3
1567;3;3;3;7;7;7;1;1;1;5;5;5;4;4;4
1578;1;1;1;2;2;2;2;2;2;5;5;5;3;3;3
1588;4;4;4;5;5;5;3;3;3;4;4;4;4;4;4
1598;3;3;3;2;2;2;0;0;0;2;2;2;1;1;1
1608;2;2;2;3;3;3;3;3;3;2;2;2;6;6;6
1618;5;5;5;6;6;6;4;4;4;2;2;2;2;2;2
1629;5;5;5;2;2;2;0;0;0;3;3;3;4;4;4
1639;2;2;2;3;3;3;2;2;2;7;7;7;1;1;1
1649;4;4;4;3;3;3;3;3;3;4;4;4;5;5;5
1659;3;3;3;2;2;2;3;3;3;2;2;2;2;2;2
1669;5;5;5;1;1;1;1;1;1;8;8;8;6;6;6
1680;4;4;4;6;6;6;2;2;2;3;3;3;2;2;2
1690;7;7;7;2;2;2;3;3;3;1;1;1;1;1;1
1700;6;6;6;5;5;5;2;2;2;2;2;2;3;3;3
1710;7;7;7;1;1;1;2;2;2;5;5;5;1;1;1
1720;4;4;4;1;1;1;4;4;4;3;3;3;3;3;3
1731;7;7;7;2;2;2;4;4;4;3;3;3;2;2;2
1741;3;3;3;5;5;5;5;5;5;2;2;2;3;3;3
1751;2;2;2;6;6;6;4;4;4;7;7;7;2;2;2
1761;3;3;3;2;2;2;4;4;4;5;5;5;2;2;2
1771;2;2;2;6;6;6;8;8;8;4;4;4;2;2;2
1782;4;4;4;3;3;3;3;3;3;4;4;4;3;3;3
1792;1;1;1;1;1;1;5;5;5;4;4;4;2;2;2
1802;4;4;4;7;7;7;5;5;5;8;8;8;6;6;6
1812;3;3;3;5;5;5;2;2;2;6;6;6;3;3;3
1822;4;4;4;8;8;8;5;5;5;5;5;5;2;2;2
1833;1;1;1;5;5;5;5;5;5;4;4;4;3;3;3
1843;1;1;1;3;3;3;3;3;3;4;4;4;1;1;1
1853;4;4;4;4;4;4;4;4;4;2;2;2;5;5;5
1863;4;4;4;0;0;0;6;6;6;1;1;1;2;2;2
1873;7;7;7;6;6;6;2;2;2;8;8;8;3;3;3
1884;0;0;0;3;3;3;1;1;1;3;3;3;2;2;2
1894;6;6;6;6;6;6;3;3;3;3;3;3;2;2;2
1904;5;5;5;3;3;3;6;6;6;2;2;2;2;2;2
1914;3;3;3;3;3;3;7;7;7;2;2;2;3;3;3
1924;1;1;1;3;3;3;5;5;5;1;1;1;0;0;0
1935;3;3;3;1;1;1;3;3;3;4;4;4;5;5;5
1945;2;2;2;2;2;2;1;1;1;5;5;5;1;1;1
1955;1;1;1;2;2;2;3;3;3;5;5;5;0;0;0
1965;6;6;6;3;3;3;6;6;6;3;3;3;1;1;1
1975;2;2;2;6;6;6;3;3;3;5;5;5;3;3;3
1985;4;4;4;2;2;2;5;5;5;5;5;5;1;1;1
1995;2;2;2;3;3;3;2;2;2;4;4;4;5;5;5
2005;1;1;1;1;1;1;3;3;3;2;2;2;3;3;3
2015;1;1;1;7;7;7;1;1;1;4;4;4;2;2;2
2025;5;5;5;5;5;5;5;5;5;2;2;2;4;4;4
2036;1;1;1;7;7;7;7;7;7;5;5;5;2;2;2
2046;5;5;5;5;5;5;3;3;3;6;6;6;3;3;3
2056;3;3;3;5;5;5;2;2;2;6;6;6;2;2;2
2066;3;3;3;3;3;3;4;4;4;6;6;6;4;4;4
2076;7;7;7;2;2;2;2;2;2;2;2;2;0;0;0
2087;4;4;4;4;4;4;3;3;3;7;7;7;7;7;7
2097;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4
2107;0;0;0;3;3;3;3;3;3;5;5;5;4;4;4
2117;3;3;3;4;4;4;2;2;2;5;5;5;6;6;6
2127;6;6;6;3;3;3;3;3;3;5;5;5;1;1;1
2138;5;5;5;0;0;0;1;1;1;2;2;2;5;5;5
2148;5;5;5;1;1;1;4;4;4;3;3;3;2;2;2
2158;3;3;3;4;4;4;2;2;2;3;3;3;3;3;3
2168;5;5;5;5;5;5;4;4;4;4;4;4;2;2;2
2178;1;1;1;0;0;0;2;2;2;5;5;5;3;3;3
2189;5;5;5;2;2;2;4;4;4;0;0;0;2;2;2
2199;4;4;4;4;4;4;3;3;3;1;1;1;2;2;2
2209;4;4;4;3;3;3;5;5;5;4;4;4;3;3;3
2219;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4
2229;6;6;6;5;5;5;6;6;6;5;5;5;3;3;3
2240;2;2;2;4;4;4;3;3;3;4;4;4;0;0;0
2250;0;0;0;0;0;0;1;1;1;6;6;6;2;2;2
2260;1;1;1;0;0;0;3;3;3;1;1;1;1;1;1
2270;6;6;6;2;2;2;1;1;1;5;5;5;3;3;3
2280;4;4;4;2;2;2;0;0;0;4;4;4;3;3;3
2291;5;5;5;3;3;3;4;4;4;2;2;2;4;4;4
2301;4;4;4;3;3;3;4;4;4;4;4;4;0;0;0
2311;4;4;4;3;3;3;2;2;2;3;3;3;6;6;6
2321;2;2;2;1;1;1;3;3;3;5;5;5;5;5;5
2331;8;8;8;1;1;1;1;1;1;4;4;4;2;2;2
2342;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2
2352;8;8;8;1;1;1;4;4;4;2;2;2;4;4;4
2362;0;0;0;2;2;2;7;7;7;4;4;4;5;5;5
2372;4;4;4;2;2;2;1;1;1;5;5;5;1;1;1
2382;4;4;4;5;5;5;4;4;4;5;5;5;4;4;4
2393;3;3;3;2;2;2;5;5;5;6;6;6;0;0;0
2403;1;1;1;5;5;5;5;5;5;2;2;2;3;3;3
2413;2;2;2;2;2;2;4;4;4;3;3;3;5;5;5
2423;3;3;3;4;4;4;1;1;1;1;1;1;4;4;4
2433;4;4;4;1;1;1;3;3;3;5;5;5;2;2;2
2444;5;5;5;6;6;6;6;6;6;2;2;2;3;3;3
2454;1;1;1;4;4;4;0;0;0;6;6;6;6;6;6
2464;1;1;1;5;5;5;2;2;2;3;3;3;3;3;3
2474;0;0;0;1;1;1;5;5;5;4;4;4;0;0;0
2484;5;5;5;3;3;3;5;5;5;3;3;3;1;1;1
2494;1;1;1;2;2;2;7;7;7;4;4;4;0;0;0
2504;4;4;4;6;6;6;1;1;1;1;1;1;1;1;1
2514;5;5;5;6;6;6;4;4;4;1;1;1;5;5;5
2524;0;0;0;2;2;2;2;2;2;7;7;7;1;1;1
2534;3;3;3;4;4;4;2;2;2;4;4;4;2;2;2
2545;2;2;2;1;1;1;4;4;4;6;6;6;4;4;4
2555;4;4;4;2;2;2;2;2;2;4;4;4;4;4;4
2565;4;4;4;3;3;3;6;6;6;7;7;7;3;3;3
2575;3;3;3;1;1;1;2;2;2;2;2;2;1;1;1
2585;7;7;7;0;0;0;5;5;5;6;6;6;5;5;5
2596;3;3;3;2;2;2;1;1;1;7;7;7;1;1;1
2606;4;4;4;2;2;2;2;2;2;5;5;5;6;6;6
2616;4;4;4;1;1;1;5;5;5;4;4;4;0;0;0
2626;2;2;2;0;0;0;4;4;4;5;5;5;3;3;3
2636;1;1;1;2;2;2;3;3;3;2;2;2;0;0;0
2647;3;3;3;2;2;2;2;2;2;5;5;5;2;2;2
2657;2;2;2;4;4;4;3;3;3;4;4;4;4;4;4
2667;1;1;1;0;0;0;3;3;3;7;7;7;4;4;4
2677;4;4;4;3;3;3;4;4;4;4;4;4;3;3;3
2687;3;3;3;1;1;1;2;2;2;3;3;3;0;0;0
2698;3;3;3;4;4;4;2;2;2;2;2;2;1;1;1
2708;4;4;4;6;6;6;2;2;2;2;2;2;4;4;4
2718;7;7;7;2;2;2;6;6;6;2;2;2;3;3;3
2728;5;5;5;5;5;5;3;3;3;2;2;2;4;4;4
2738;2;2;2;4;4;4;1;1;1;5;5;5;4;4;4
2749;5;5;5;5;5;5;3;3;3;3;3;3;6;6;6
2759;1;1;1;2;2;2;1;1;1;9;9;9;1;1;1
2769;0;0;0;2;2;2;2;2;2;3;3;3;0;0;0
2779;6;6;6;3;3;3;3;3;3;4;4;4;6;6;6
2789;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4
2800;1;1;1;0;0;0;9;9;9;5;5;5;6;6;6
2810;1;1;1;1;1;1;9;9;9;3;3;3;2;2;2
2820;4;4;4;5;5;5;7;7;7;4;4;4;2;2;2
2830;3;3;3;5;5;5;3;3;3;3;3;3;8;8;8
2840;1;1;1;7;7;7;0;0;0;6;6;6;6;6;6
2851;3;3;3;5;5;5;3;3;3;5;5;5;3;3;3
2861;4;4;4;4;4;4;1;1;1;4;4;4;5;5;5
2871;1;1;1;6;6;6;5;5;5;3;3;3;3;3;3
2881;2;2;2;5;5;5;0;0;0;2;2;2;1;1;1
2891;3;3;3;4;4;4;2;2;2;8;8;8;1;1;1
2902;4;4;4;2;2;2;5;5;5;6;6;6;10;10;10
2912;4;4;4;3;3;3;0;0;0;3;3;3;2;2;2
2922;1;1;1;4;4;4;0;0;0;7;7;7;3;3;3
2932;5;5;5;5;5;5;5;5;5;2;2;2;7;7;7
2942;2;2;2;1;1;1;1;1;1;2;2;2;4;4;4
2953;3;3;3;3;3;3;2;2;2;1;1;1;0;0;0
2963;7;7;7;3;3;3;0;0;0;6;6;6;7;7;7
2973;2;2;2;4;4;4;5;5;5;2;2;2;6;6;6
2983;5;5;5;5;5;5;8;8;8;4;4;4;3;3;3
2993;2;2;2;2;2;2;0;0;0;0;0;0;8;8;8
3003;2;2;2;2;2;2;3;3;3;6;6;6;2;2;2
3013;2;2;2;5;5;5;7;7;7;3;3;3;4;4;4
3023;2;2;2;2;2;2;2;2;2;3;3;3;1;1;1
3033;3;3;3;4;4;4;0;0;0;5;5;5;5;5;5
3043;2;2;2;2;2;2;3;3;3;2;2;2;1;1;1
3054;3;3;3;4;4;4;3;3;3;6;6;6;2;2;2
3064;6;6;6;3;3;3;1;1;1;3;3;3;6;6;6
3074;3;3;3;3;3;3;3;3;3;4;4;4;2;2;2
3084;2;2;2;5;5;5;2;2;2;4;4;4;4;4;4
3094;0;0;0;2;2;2;1;1;1;7;7;7;7;7;7
3105;3;3;3;4;4;4;5;5;5;3;3;3;5;5;5
3115;2;2;2;4;4;4;1;1;1;6;6;6;6;6;6
3125;4;4;4;1;1;1;5;5;5;6;6;6;3;3;3
3135;3;3;3;4;4;4;0;0;0;3;3;3;5;5;5
3145;3;3;3;4;4;4;3;3;3;7;7;7;1;1;1
3156;3;3;3;1;1;1;1;1;1;3;3;3;2;2;2
3166;3;3;3;2;2;2;0;0;0;2;2;2;3;3;3
3176;1;1;1;0;0;0;3;3;3;5;5;5;2;2;2
3186;0;0;0;6;6;6;7;7;7;4;4;4;5;5;5
3196;7;7;7;4;4;4;2;2;2;5;5;5;1;1;1
3207;5;5;5;3;3;3;4;4;4;6;6;6;2;2;2
3217;2;2;2;3;3;3;1;1;1;3;3;3;5;5;5
3227;3;3;3;4;4;4;3;3;3;6;6;6;2;2;2
3237;2;2;2;4;4;4;3;3;3;2;2;2;3;3;3
3247;7;7;7;3;3;3;3;3;3;5;5;5;3;3;3
3258;3;3;3;2;2;2;5;5;5;4;4;4;0;0;0
3268;1;1;1;2;2;2;4;4;4;8;8;8;2;2;2
3278;5;5;5;5;5;5;2;2;2;4;4;4;7;7;7
3288;2;2;2;3;3;3;2;2;2;1;1;1;1;1;1
3298;2;2;2;3;3;3;3;3;3;6;6;6;3;3;3
3309;1;1;1;3;3;3;1;1;1;4;4;4;4;4;4
3319;2;2;2;3;3;3;1;1;1;7;7;7;7;7;7
3329;4;4;4;4;4;4;5;5;5;2;2;2;0;0;0
3339;2;2;2;8;8;8;2;2;2;4;4;4;5;5;5
3349;8;8;8;0;0;0;1;1;1;2;2;2;1;1;1
3360;2;2;2;1;1;1;3;3;3;8;8;8;6;6;6
3370;1;1;1;3;3;3;3;3;3;4;4;4;2;2;2
3380;1;1;1;3;3;3;2;2;2;3;3;3;2;2;2
3390;7;7;7;3;3;3;3;3;3;4;4;4;3;3;3
